Date,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume
2015-01-02,24.237552642822266,24.705322239577697,23.798602356597982,24.694236978633914,212818400
2015-01-05,23.554738998413086,24.0867993234754,23.368518814896508,24.006990190147395,257142000
2015-01-06,23.556961059570312,23.816339948630354,23.195602497746687,23.619034466383983,263188400
2015-01-07,23.887283325195312,23.98704392471396,23.65450633782029,23.76535220011818,160423600
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887466,24.215381460812253,237458000
2015-01-09,24.83168601989746,25.106583234710648,24.432640311803063,24.97800165194986,214798000
2015-01-12,24.219816207885742,24.969133482585438,24.120055627743543,24.962483002759065,198603200
2015-01-13,24.434856414794922,25.006821335803178,24.144440865044796,24.703103135568583,268367600
2015-01-14,24.341737747192383,24.4947037972297,24.053537997857934,24.173251661825812,195826400
2015-01-15,23.68109893798828,24.39937931797329,23.645629158066633,24.386078361924277,240056000
2015-01-16,23.497093200683594,23.849583739052846,23.32195662633787,23.72765267736508,314053200
2015-01-20,24.102312088012695,24.15773499046255,23.610156443638342,23.907222388910643,199599600
2015-01-21,24.286325454711914,24.62107869073436,24.00255866913812,24.153309086853763,194303600
2015-01-22,24.91815185546875,24.933670209577176,24.324017926015934,24.443731668298266,215185600
2015-01-23,25.046724319458008,25.217426152284684,24.72527039983578,24.89597392403558,185859200
2015-01-26,25.07332420349121,25.35265614411919,25.00681772616178,25.215206718108252,222460000
2015-01-27,24.1954288482666,24.935879909246182,24.171042629136025,24.922577258846545,382274800
2015-01-28,25.563268661499023,26.18622347098334,25.563268661499023,26.07759332327218,585908400
2015-01-29,26.359146118164062,26.423436920592042,25.618694886212186,25.787181068734693,337745600
2015-01-30,25.973400115966797,26.603003725613746,25.9046745395417,26.248297347546913,334982000
2015-02-02,26.299283981323242,26.41899769418198,25.73397119942588,26.17070408947349,250956400
2015-02-03,26.30371856689453,26.401261757431495,26.073159013253253,26.270464476118452,207662800
2015-02-04,26.505449295043945,26.7160573468739,26.228334772667278,26.270456721307834,280598800
2015-02-05,26.694639205932617,26.75918372529074,26.54106770476852,26.71244324385506,168984800
2015-02-06,26.469846725463867,26.763634579747894,26.363014006611284,26.71244351282826,174826400
2015-02-09,26.645673751831055,26.672380657208517,26.358562632684485,26.385271236110356,155559200
2015-02-10,27.157575607299805,27.186510351861603,26.743603296210924,26.745827739601534,248034000
2015-02-11,27.794116973876953,27.80301984182764,27.26440906617443,27.324501302281014,294247200
2015-02-12,28.145769119262695,28.37278797867428,27.94768500160746,28.05674214886694,297898000
2015-02-13,28.28376579284668,28.328278436550338,27.96549546602483,28.328278436550338,217088800
2015-02-17,28.45069122314453,28.684386851565183,28.248154785440164,28.37501768994175,252609600
2015-02-18,28.648775100708008,28.662128554300637,28.36611454730817,28.406176606134583,179566800
2015-02-19,28.588672637939453,28.717761644333972,28.561965738718527,28.59534936274468,149449600
2015-02-20,28.8223819732666,28.8223819732666,28.499661001048015,28.626522229090835,195793600
2015-02-23,29.601364135742188,29.601364135742188,28.857992347697483,28.938116476690762,283896400
2015-02-24,29.416627883911133,29.734899896206425,29.194061278089517,29.588005121300906,276912400
2015-02-25,28.664350509643555,29.289765499417644,28.521908023525217,29.280860933730825,298846800
2015-02-26,29.02713966369629,29.12729396862077,28.179161341319833,28.664354967712665,365150000
2015-02-27,28.590913772583008,29.06052954681406,28.541948837177106,28.933664924326695,248059200
2015-03-02,28.731121063232422,28.995975855853946,28.555294946670976,28.76673253365645,192386800
2015-03-03,28.791223526000977,28.826835006976815,28.508562914414114,28.70219821965913,151265200
2015-03-04,28.60870933532715,28.835728218754888,28.55974780762392,28.733349484334305,126665200
2015-03-05,28.1346492767334,28.655454390000926,27.989980623698415,28.617618469406004,226068400
2015-03-06,28.176929473876953,28.7934381705221,28.101257649630615,28.57754831021603,291368400
2015-03-09,28.297117233276367,28.83795583428651,27.834178300278573,28.479621776355522,354114000
2015-03-10,27.711767196655273,28.31492246485523,27.553745118097947,28.13464406642544,275426400
2015-03-11,27.20654296875,27.769636241841642,27.17760991964379,27.765185656613205,275756000
2015-03-12,27.69841766357422,27.798573670384616,27.07077980681414,27.22212518990764,193450800
2015-03-13,27.507007598876953,27.90985433352595,27.282216536512934,27.687287714754685,207309200
2015-03-16,27.8096981048584,27.8096981048584,27.34676083218295,27.571551892676595,143497200
2015-03-17,28.274864196777344,28.337182579986006,27.965496724385353,28.021138380542887,204092400
2015-03-18,28.593130111694336,28.746701602291754,28.125740611932834,28.265956952446786,261083600
2015-03-19,28.377239227294922,28.766730746100933,28.354982908687088,28.6554474550135,183238000
2015-03-20,28.021133422851562,28.577548187933573,27.856434625218515,28.544164558584388,274780400
2015-03-23,28.312694549560547,28.455137025477782,28.159123065380175,28.292664372344806,150838800
2015-03-24,28.19696044921875,28.497423293342283,28.168025707185222,28.31714660569711,131369200
2015-03-25,27.460264205932617,28.22589378943832,27.460264205932617,28.16357541832474,206620800
2015-03-26,27.65167236328125,27.794114843477228,27.286663295523013,27.322274764596163,190291600
2015-03-27,27.431333541870117,27.754054433731582,27.355661712679918,27.725121386932106,158184800
2015-03-30,28.125736236572266,28.132412961551175,27.59825288861356,27.60938189561045,188398800
2015-03-31,27.693960189819336,28.15244681072186,27.6783805968192,28.06341983727182,168362400
2015-04-01,27.653898239135742,27.847531779753435,27.3979463262866,27.780761124906427,162485600
2015-04-02,27.892047882080078,27.945463393763433,27.640548220607812,27.8275033605238,128880400
2015-04-06,28.34385871887207,28.379470193137237,27.671708273578293,27.702867464536038,148776000
2015-04-07,28.045616149902344,28.51523008704785,28.038939423968984,28.408399076017474,140049200
2015-04-08,27.954362869262695,28.132416817328334,27.814146531343606,28.010004515777172,149316800
2015-04-09,28.168033599853516,28.172485883590006,27.74515833951772,28.010011488182474,129936000
2015-04-10,28.2882137298584,28.31269619101809,27.878692012365974,28.032261807401454,160752000
2015-04-13,28.232574462890625,28.615391006220108,28.179158951331196,28.57087496683167,145460400
2015-04-14,28.110164642333984,28.330505119560385,28.02336379681908,28.265960596322643,102098400
2015-04-15,28.216995239257812,28.294893215067187,28.045619692477185,28.13464667828012,115881600
2015-04-16,28.08123207092285,28.288219110430457,28.067878616131612,28.105714536739242,113476000
2015-04-17,27.765186309814453,28.07455378094966,27.70064178516809,27.94324028801466,207828000
2015-04-20,28.399503707885742,28.51523761673722,27.858666689842995,27.947693687908842,188217200
2015-04-21,28.245927810668945,28.533037228247775,28.192510604471984,28.510782606071622,129740400
