Start date,value
2015-01-05,1240580.1
2015-01-12,1465239.4285714286
2015-01-19,1479857.357142857
2015-01-26,1516269.642857143
2015-02-02,1507587.5357142857
2015-02-09,1534305.2857142857
2015-02-16,1493205.0
2015-02-23,1495697.9642857143
2015-03-02,1478933.0714285714
2015-03-09,1455817.357142857
2015-03-16,1442406.7142857143
2015-03-23,1410464.6785714286
2015-03-30,1411141.357142857
2015-04-06,1297583.4642857143
2015-04-13,1355202.892857143
2015-04-20,1351006.642857143
2015-04-27,1323605.7142857143
2015-05-04,1277736.107142857
2015-05-11,1331730.392857143
2015-05-18,1244288.0
2015-05-25,1259924.25
2015-06-01,1305526.3214285714
2015-06-08,1277115.892857143
2015-06-15,1318104.5714285714
2015-06-22,1304904.857142857
2015-06-29,1311985.7857142857
2015-07-06,1347171.25
2015-07-13,1328825.5
2015-07-20,1328562.6785714286
2015-07-27,1323824.107142857
2015-08-03,1285775.75
2015-08-10,1299451.75
2015-08-17,1300783.5357142857
2015-08-24,1289333.857142857
2015-08-31,1323798.1785714286
2015-09-07,1328597.2857142857
2015-09-14,1330164.357142857
2015-09-21,1346369.4285714286
2015-09-28,1347548.392857143
2015-10-05,1321481.2857142857
2015-10-12,1362324.642857143
2015-10-19,1414048.3214285714
2015-10-26,1401532.7857142857
2015-11-02,1394589.2857142857
2015-11-09,1406407.9642857143
2015-11-16,1435764.75
2015-11-23,1464466.0357142857
2015-11-30,1505831.0357142857
2015-12-07,1470757.9642857143
2015-12-14,1478872.392857143
2015-12-21,1404996.5
2015-12-28,1165942.5714285714
2016-01-04,1213233.3214285714
2016-01-11,1437910.8214285714
2016-01-18,1502718.4642857143
2016-01-25,1528752.357142857
2016-02-01,1475936.75
2016-02-08,1466870.142857143
2016-02-15,1475011.7142857143
2016-02-22,1495105.0714285714
2016-02-29,1457128.5357142857
2016-03-07,1464299.357142857
2016-03-14,1441140.392857143
2016-03-21,1435179.5714285714
2016-03-28,1287061.5714285714
2016-04-04,1358682.1785714286
2016-04-11,1355866.5357142857
2016-04-18,1352059.7142857143
2016-04-25,1344112.0
2016-05-02,1354987.0357142857
2016-05-09,1267394.357142857
2016-05-16,1288665.9642857143
2016-05-23,1332559.357142857
2016-05-30,1293820.9285714286
2016-06-06,1322976.392857143
2016-06-13,1308878.857142857
2016-06-20,1314169.4642857143
2016-06-27,1322674.3214285714
2016-07-04,1325084.0357142857
2016-07-11,1336219.5357142857
2016-07-18,1315936.5357142857
2016-07-25,1320410.5714285714
2016-08-01,1291336.7857142857
2016-08-08,1280715.7142857143
2016-08-15,1265609.607142857
2016-08-22,1281422.107142857
2016-08-29,1322568.2857142857
2016-09-05,1303124.5357142857
2016-09-12,1304328.107142857
2016-09-19,1311247.5357142857
2016-09-26,1293692.75
2016-10-03,1288577.5714285714
2016-10-10,1378754.2857142857
2016-10-17,1395863.0
2016-10-24,1404315.5357142857
2016-10-31,1381750.0714285714
2016-11-07,1408924.2142857143
2016-11-14,1494585.75
2016-11-21,1491306.9285714286
2016-11-28,1477507.607142857
2016-12-05,1530582.25
2016-12-12,1524503.7142857143
2016-12-19,1499783.642857143
2016-12-26,1356826.142857143
2017-01-02,1271091.642857143
2017-01-09,1489645.0
2017-01-16,1544211.7857142857
2017-01-23,1562466.0714285714
2017-01-30,1562869.3214285714
2017-02-06,1513248.642857143
2017-02-13,1543155.857142857
2017-02-20,1498923.75
2017-02-27,1469198.2857142857
2017-03-06,1453109.75
2017-03-13,1447114.0
2017-03-20,1424309.142857143
2017-03-27,1398700.2857142857
2017-04-03,1353792.4285714286
2017-04-10,1359079.5
2017-04-17,1254906.392857143
2017-04-24,1392162.8214285714
2017-05-01,1332486.0714285714
2017-05-08,1378190.7857142857
2017-05-15,1328026.0357142857
2017-05-22,1333196.892857143
2017-05-29,1254537.0
2017-06-05,1268974.5357142857
2017-06-12,1324467.7857142857
2017-06-19,1279935.107142857
2017-06-26,1351339.25
2017-07-03,1327573.4285714286
2017-07-10,1334167.3214285714
2017-07-17,1316273.8214285714
2017-07-24,1312360.892857143
2017-07-31,1299679.642857143
2017-08-07,1288536.5
2017-08-14,1273666.75
2017-08-21,1284590.5357142857
2017-08-28,1286634.0714285714
2017-09-04,1293110.2142857143
2017-09-11,1326430.142857143
2017-09-18,1348100.142857143
2017-09-25,1337283.6785714286
2017-10-02,1342550.9642857143
2017-10-09,1347742.25
2017-10-16,1388276.75
2017-10-23,1393250.6785714286
2017-10-30,1403766.25
2017-11-06,1347729.3214285714
2017-11-13,1461232.5
2017-11-20,1479398.25
2017-11-27,1498071.642857143
2017-12-04,1531501.4285714286
2017-12-11,1561024.5714285714
2017-12-18,1543846.0
2017-12-25,1373184.107142857
2018-01-01,1218788.2857142857
2018-01-08,1451931.357142857
2018-01-15,1517074.892857143
2018-01-22,1538127.5714285714
2018-01-29,1511950.9285714286
2018-02-05,1519487.3214285714
2018-02-12,1530266.6785714286
2018-02-19,1511805.5714285714
2018-02-26,1548269.2857142857
2018-03-05,1598171.5
2018-03-12,1470075.2142857143
2018-03-19,1522738.607142857
2018-03-26,1466013.2142857143
2018-04-02,1330149.142857143
2018-04-09,1380789.392857143
2018-04-16,1370938.2857142857
2018-04-23,1328996.7142857143
2018-04-30,1340643.9642857143
2018-05-07,1292541.857142857
2018-05-14,1275620.2142857143
2018-05-21,1285340.0714285714
2018-05-28,1345786.0714285714
2018-06-04,1300231.142857143
2018-06-11,1362207.392857143
2018-06-18,1347789.107142857
2018-06-25,1359610.0
2018-07-02,1336937.2857142857
2018-07-09,1351495.25
2018-07-16,1300072.0
2018-07-23,1304626.142857143
2018-07-30,1337250.5357142857
2018-08-06,1333721.9642857143
2018-08-13,1325369.5357142857
2018-08-20,1299230.2857142857
2018-08-27,1328599.0714285714
2018-09-03,1323393.142857143
2018-09-10,1327851.6785714286
2018-09-17,1338526.7142857143
2018-09-24,1388903.642857143
2018-10-01,1371005.0714285714
2018-10-08,1322455.7857142857
2018-10-15,1367193.9285714286
2018-10-22,1378719.6785714286
2018-10-29,1468514.0357142857
2018-11-05,1371602.0
2018-11-12,1421821.8214285714
2018-11-19,1465178.25
2018-11-26,1482661.1785714286
2018-12-03,1504875.2857142857
2018-12-10,1519089.3214285714
2018-12-17,1524859.892857143
2018-12-24,1388689.1785714286
2018-12-31,1197606.642857143
2019-01-07,1355268.4642857143
2019-01-14,1520315.392857143
2019-01-21,1520574.6785714286
2019-01-28,1548512.25
2019-02-04,1523251.5357142857
2019-02-11,1518899.5357142857
2019-02-18,1467724.392857143
2019-02-25,1446473.2142857143
2019-03-04,1419075.7857142857
2019-03-11,1435723.3214285714
2019-03-18,1452487.6785714286
2019-03-25,1405915.4285714286
2019-04-01,1365056.4285714286
2019-04-08,1369295.9285714286
2019-04-15,1370829.1785714286
2019-04-22,1196976.5714285714
2019-04-29,1307211.857142857
2019-05-06,1281218.7857142857
2019-05-13,1340888.25
2019-05-20,1331633.2857142857
2019-05-27,1325056.2857142857
2019-06-03,1228432.642857143
2019-06-10,1247517.75
2019-06-17,1295898.857142857
2019-06-24,1259059.892857143
2019-07-01,1341870.357142857
2019-07-08,1334471.3214285714
2019-07-15,1295825.3214285714
2019-07-22,1290468.75
2019-07-29,1325307.4285714286
2019-08-05,1264289.9642857143
2019-08-12,1282350.9642857143
2019-08-19,1262199.6785714286
2019-08-26,1266597.2857142857
2019-09-02,1311962.1785714286
2019-09-09,1294978.5
2019-09-16,1322191.2857142857
2019-09-23,1317919.0714285714
2019-09-30,1350714.142857143
2019-10-07,1285232.607142857
2019-10-14,1385950.2142857143
2019-10-21,1371606.392857143
2019-10-28,1393401.0357142857
2019-11-04,1338431.25
2019-11-11,1419865.107142857
2019-11-18,1461697.7142857143
2019-11-25,1461355.7142857143
2019-12-02,1470252.0714285714
2019-12-09,1516353.357142857
2019-12-16,1497456.1785714286
2019-12-23,1352440.2857142857
2019-12-30,1137177.8214285714
2020-01-06,1264511.6785714286
2020-01-13,1475312.1785714286
2020-01-20,1484766.75
2020-01-27,1498431.3214285714
2020-02-03,1511034.0
2020-02-10,1500347.5357142857
2020-02-17,1512313.857142857
2020-02-24,1483538.5714285714
2020-03-02,1459632.2857142857
2020-03-09,1433510.392857143
2020-03-16,1450993.7142857143
2020-03-23,1352761.5357142857
2020-03-30,1303109.4285714286
2020-04-06,1290028.5
2020-04-13,1131728.857142857
2020-04-20,1213126.142857143
2020-04-27,1223504.357142857
2020-05-04,1182224.5
2020-05-11,1226257.357142857
2020-05-18,1246566.5
2020-05-25,1170747.8214285714
2020-06-01,1166564.4642857143
2020-06-08,1233084.9642857143
2020-06-15,1189456.3214285714
2020-06-22,1222127.7142857143
2020-06-29,1228778.2857142857
2020-07-06,1268072.857142857
2020-07-13,1243945.1785714286
2020-07-20,1218655.2857142857
2020-07-27,1211113.5714285714
2020-08-03,1221321.857142857
2020-08-10,1221762.0
2020-08-17,1266939.9642857143
2020-08-24,1264665.7142857143
2020-08-31,1267621.607142857
2020-09-07,1266911.142857143
2020-09-14,1286513.4285714286
2020-09-21,1277317.3214285714
2020-09-28,1298648.5
2020-10-05,1326374.5
2020-10-12,1372025.6785714286
2020-10-19,1375297.75
2020-10-26,1398060.0357142857
2020-11-02,1403794.75
2020-11-09,1390226.4642857143
2020-11-16,1404366.7857142857
2020-11-23,1458520.8214285714
2020-11-30,1470091.0357142857
2020-12-07,1502087.607142857
2020-12-14,1480129.9642857143
