Date,EC_Close,EC_High,EC_Low,EC_Open,EC_Volume
2015-01-02,6.605461597442627,6.825643345262396,6.533401894208289,6.79762029702033,923400
2015-01-05,6.032989025115967,6.4653465446109735,6.0129727773018375,6.45333710135086,1468900
2015-01-06,5.976942539215088,6.065015092979921,5.86484957332005,6.016975414075803,1122600
2015-01-07,6.181110382080078,6.2972063551194815,6.0049649126285445,6.032987960049487,1067100
2015-01-08,6.5093841552734375,6.625479783951872,6.201129007132839,6.201129007132839,1891100
2015-01-09,6.525394916534424,6.561424767189205,6.341243025250676,6.561424767189205,696900
2015-01-12,6.1771087646484375,6.425313609785959,6.085032416556173,6.38127732787212,1632300
2015-01-13,6.269184112548828,6.3972899249600585,6.161094928773212,6.2291512370630375,1336400
2015-01-14,6.341243743896484,6.341243743896484,6.061012091846528,6.1610948519919,823200
2015-01-15,6.205130577087402,6.453336136142048,6.153087500626615,6.397289276217634,1071900
2015-01-16,6.437323093414307,6.437323093414307,6.177108070097874,6.313220684799552,848200
2015-01-20,6.349250793457031,6.445330542845763,6.201128339622302,6.43732373798609,1060600
2015-01-21,6.55341911315918,6.5694319568529655,6.317223369216575,6.369266447470314,629300
2015-01-22,6.601457595825195,6.673517292510864,6.469348406425046,6.5934507931777375,716300
2015-01-23,6.705544948577881,6.757587648028498,6.597455384060215,6.60946559019691,861500
2015-01-26,6.833651065826416,6.869680922279387,6.6454957426827095,6.701541846689154,1108000
2015-01-27,6.861673831939697,6.881690842230066,6.733568020364808,6.773601277374677,579400
2015-01-28,6.689532279968262,6.953751507090201,6.661509225284215,6.86968157946709,1096200
2015-01-29,6.5093841552734375,6.76959923265574,6.377274915151898,6.721559925468465,1016000
2015-01-30,6.525394916534424,6.657504114411697,6.389282698861921,6.469348821547331,2211600
2015-02-02,6.965758800506592,6.969762201878311,6.605461076330012,6.705543819910769,1544200
2015-02-03,7.9265546798706055,7.970591340798287,7.005793547612721,7.089862703670042,2526600
2015-02-04,7.338067531585693,7.662335442462575,7.294030875249898,7.638315795175241,1251900
2015-02-05,7.55024528503418,7.602287995472785,7.402122432357952,7.5342316734709005,1397400
2015-02-06,7.462169647216797,7.690358196622127,7.394113346203734,7.670341951912141,689100
2015-02-09,7.494196891784668,7.578266808339425,7.41413114088157,7.450160996037769,652200
2015-02-10,7.0698466300964355,7.490193947869722,7.017803927004577,7.490193947869722,822800
2015-02-11,6.809630870819092,6.961756325329548,6.561425297746326,6.905710225810565,1001200
2015-02-12,7.173932075500488,7.229978175259051,6.8856940092939425,6.8856940092939425,1832200
2015-02-13,7.406124114990234,7.510210275261842,7.245991854407317,7.253998658329175,688700
2015-02-17,7.322054862976074,7.394113806560887,7.113882545319933,7.394113806560887,1045400
2015-02-18,7.258001804351807,7.386108385348902,7.145909595889338,7.221972711325229,639700
2015-02-19,7.0458269119262695,7.121890028240347,6.821641728842104,7.113883223666041,704600
2015-02-20,6.8816914558410645,7.077853592752412,6.857671041350824,7.009797278838603,527700
2015-02-23,6.845661163330078,6.921724277247882,6.649499038864913,6.769598049412275,708500
2015-02-24,6.9297308921813965,6.9977872074161365,6.8656779794394005,6.905711240795886,382500
2015-02-25,6.917720317840576,6.9377365634624635,6.749581258475919,6.917720317840576,595500
2015-02-26,6.689532279968262,6.881691787290669,6.6815262383235146,6.8376551221751845,504100
2015-02-27,6.693535327911377,6.797621499487688,6.681525884295104,6.725561783506325,766700
2015-03-02,6.301211357116699,6.697539050383848,6.301211357116699,6.697539050383848,1063500
2015-03-03,5.916893482208252,6.1771089232497935,5.820814110955444,6.093039377957216,2111500
2015-03-04,6.105048179626465,6.109051581536688,5.812806712317741,5.9168924894856,1306900
2015-03-05,6.044999599456787,6.16509862078488,5.992956512048057,6.077026056049009,826800
2015-03-06,5.804800510406494,6.085032182827646,5.76476725072399,5.980946013081502,823800
2015-03-09,5.560598373413086,5.908886338059178,5.548588167132387,5.82481680302147,1020800
2015-03-10,5.564600944519043,5.580614169815204,5.320399163306231,5.508554846875182,1944800
2015-03-11,5.624651908874512,5.652674963092925,5.504552505132702,5.504552505132702,617200
2015-03-12,5.73274040222168,5.748753628638511,5.624651219354426,5.700713949388017,1056600
