,trial,n_estimators,max_depth,learning_rate,min_child_weight,gamma,reg_lambda,reg_alpha,subsample,colsample_bytree,mape_mean,mae_mean,rmse_mean,smape_mean
42,42,226,8,0.01854,14.30323,0.77908,1.89223,4.78704,0.74829,0.62499,0.033384,42901.170443,57580.840547,0.03289
44,44,241,8,0.0236,13.3015,0.81959,1.54242,4.77237,0.75206,0.62381,0.033685,43376.492672,58124.429053,0.033229
41,41,235,8,0.0162,13.98789,0.81758,2.19918,4.85376,0.74313,0.67333,0.03376,43373.391749,58166.252956,0.033248
