,trial,input_timesteps,units,lr,epochs,dropout_rate,recurrent_dropput_rate,mape_mean,mae_mean,rmse_mean,smape_mean
44,44,52,96,0.0011178917527043502,120,0.033268680966822006,0.1041403772456473,3.13273,41044.672265625,53960.67239491928,3.090388
48,48,52,160,0.0006333791790913775,115,0.051611763631610144,0.06970198348668766,3.22991,42108.484765625,55908.74837455953,3.156971
28,28,8,96,0.0009447359235672134,75,0.017915284520757014,0.25247779028547246,3.267948,43223.23046875,57234.882255626624,3.232952
