,trial,n_lags,n_changepoints,learning_rate,epochs,batch_size,mape_mean,mae_mean,rmse_mean,smape_mean
40,40,3,11,0.009656353898529403,89,32,0.03360037125438736,45057.89758643183,64679.79543575924,0.03335014848211119
41,41,3,11,0.008643146510112661,89,32,0.03437365242751909,46115.3297863666,66215.86726977087,0.034128758178197646
45,45,3,12,0.0071362055962658245,89,32,0.037317666958838175,49449.898646444875,65669.68363098317,0.03697969343950014
